yyyymm (YearMonth),dfy_lag1,infl_lag1,svar_lag1,de_lag1,lty_lag1,tms_lag1,tbl_lag1,dfr_lag1,dp_lag1,dy_lag1,ltr_lag1,ep_lag1,b/m_lag1,ntis_lag1,CRSP_SPvw_minus_Rfree
192711,0.0087,0.005780347,0.001559337,-0.402774385,0.0325,0.0017,0.0308,-0.0044,-3.065649787,-3.120203318,0.0099,-2.662875402,0.4138006933362681,0.094366735,0.068446
192712,0.0086,-0.005747126,0.000929659,-0.384325284,0.032,0.0016,0.0304,-0.0029,-3.122543244,-3.056965522,0.0097,-2.73821796,0.37939559053529087,0.082267186,0.017095
192801,0.0086,0,0.000604204,-0.365724779,0.0316,-1.00E-04,0.0317,-0.0004,-3.132666959,-3.113803868,0.0072,-2.76694218,0.37468858993522675,0.076471109,-0.009682
192802,0.0089,0,0.000860526,-0.377570086,0.0321,-0.001,0.0331,0.0063,-3.118894006,-3.124003299,-0.0036,-2.74132392,0.37866962082682915,0.062601454,-0.015849
192803,0.0087,-0.011560694,0.000691124,-0.388339859,0.0318,-0.0015,0.0333,0.0007,-3.0926312,-3.110432417,0.0061,-2.704291342,0.3860765992401684,0.055172634,0.102852
192804,0.0086,0,0.001381008,-0.398691162,0.0317,-0.001,0.0327,-0.0004,-3.186980117,-3.084114019,0.0045,-2.788288955,0.3632548379575659,0.054363937199364554,0.032525
192805,0.0087,0,0.00148796,-0.409598639,0.0319,-0.0043,0.0362,0.0018,-3.210430574,-3.178534866,-0.0004,-2.800831935,0.3680952605963238,0.049372064,0.009125
192806,0.0093,0.005847953,0.001898859,-0.419515897,0.0327,-0.0063,0.039,-1.00E-04,-3.214759309,-3.202180527,-0.0077,-2.795243413,0.3543969792093172,0.047187376,-0.03743
192807,0.0098,-0.005813953,0.003645477,-0.429856561,0.0326,-0.0066,0.0392,-0.0065,-3.165110341,-3.206453305,0.0041,-2.73525378,0.3702999477111756,0.050298789,0.006917
192808,0.0097,0,0.00167498,-0.439924305,0.0344,-0.0068,0.0412,0.0207,-3.169301712,-3.156872759,-0.0217,-2.729377407,0.36064814814814816,0.05938033,0.06703
192809,0.0097,0,0.001229317,-0.449076843,0.0341,-0.0095,0.0436,0.0007,-3.232747346,-3.161252888,0.0076,-2.783670503,0.32402978245497277,0.057398906,0.019708999999999997
192810,0.0098,0.011695906432748426,0.000650464,-0.457882269,0.0346,-0.0111,0.045700000000000005,0.0071,-3.248317648,-3.224642299,-0.0041,-2.790435379,0.32816581009352097,0.027980056919657832,0.009739
192811,0.0097,-0.005780347,0.000678845,-0.467220988,0.0336,-0.0134,0.047,-0.0075,-3.254679872,-3.240277765,0.0158,-2.787458885,0.3089308375634518,0.034019372,0.119175
192812,0.0097,0,0.001523296,-0.475708893,0.0338,-0.0088,0.0426,-0.0039,-3.360085479,-3.246822689,0.0003,-2.884376585,0.2655259390551503,0.038372009574330145,0.005632
192901,0.0099,-0.005813953,0.00407747,-0.484602429,0.034,-0.0086,0.0426,0.008,-3.355050779,-3.352171896,0.0004,-2.87044835,0.2596666666666667,0.063068738,0.052073
192902,0.010099999999999998,0,0.001700823,-0.486580585,0.0349,-0.0117,0.0466,0.0133,-3.398869092,-3.343354739,-0.009,-2.912288506,0.24534660325659036,0.078448656,-0.008474
192903,0.010000000000000002,0,0.002670117,-0.488509495,0.0363,-0.0076,0.043899999999999995,0.018699999999999998,-3.381463718,-3.38730827,-0.0157,-2.892954222,0.24542389968810055,0.071783137,-0.003246
192904,0.0109,-0.005847953,0.003611407,-0.491086631,0.0377,-0.0083,0.046,0.0057,-3.367687603,-3.370035022,-0.0144,-2.876600972,0.27230046948356806,0.079804566,0.015959
192905,0.011099999999999992,-0.005882353,0.002304361,-0.492913343,0.0358,-0.0122,0.048,-0.0256,-3.372319995,-3.356388048,0.0275,-2.879406652,0.26339691189827424,0.099322633,-0.045681
192906,0.010999999999999996,0.00591716,0.004759808,-0.494696242,0.0373,-0.0136,0.0509,0.0207,-3.317413115,-3.361146695,-0.0162,-2.822716873,0.2827746208937157,0.11798666814996976,0.10709400000000001
192907,0.011700000000000009,0.005882353,0.00134038,-0.496436886,0.0367,-0.0113,0.048,-0.0156,-3.412850827,-3.306363279,0.011,-2.916413941,0.2535805819387909,0.11619736035933806,0.046714000000000006
192908,0.011800000000000012,0.011695906432748426,0.001281813,-0.498136764,0.0369,-0.0086,0.0455,0.002,-3.446530923,-3.401921757,0,-2.948394159,0.24187517975266032,0.11068793963786124,0.090871
192909,0.012500000000000004,0,0.003382102,-0.499797293,0.0375,-0.0095,0.047,0.0054,-3.529202781,-3.435720007,-0.0034,-3.029405489,0.22112376094444297,0.11527731496068437,-0.054441
192910,0.013200000000000003,0,0.003392282,-0.501419825,0.0375,-0.0083,0.0458,0.0007,-3.468391947,-3.518507492,0.0027,-2.966972121,0.2448682486533702,0.12139011770112267,-0.19075
192911,0.013400000000000009,0,0.053507543,-0.503641988,0.0347,-0.009,0.0437,-0.0309,-3.235577674,-3.457809838,0.0382,-2.731935686,0.30748418704983366,0.1596118359731106,-0.129059
192912,0.012700000000000003,0,0.036448746,-0.505184744,0.0331,-0.0016,0.0347,-0.0254,-3.081527634,-3.225106375,0.0236,-2.57634289,0.35195647625026155,0.1770397921351953,0.024052999999999998
193001,0.012800000000000006,-0.005780347,0.010214629578000003,-0.506693386,0.034,0.0037,0.030299999999999997,0.0281,-3.096183853,-3.071164847,-0.0089,-2.589490466,0.3384578235672891,0.16352217212029735,0.058232
193002,0.0126,-0.005813953,0.001433161,-0.472395698,0.0347,0.0008,0.0339,0.0116,-3.155956648,-3.095359451,-0.0057,-2.68356095,0.314816201,0.1533141988653753,0.023041000000000002
193003,0.012,-0.005847953,0.001724706,-0.436171275,0.0339,0.0003,0.0336,-0.0057,-3.176302787,-3.155030007,0.0129,-2.740131512,0.3102061893696285,0.15925562859833145,0.068848
193004,0.011100000000000006,-0.005882353,0.001504044,-0.39944876,0.0335,0.004,0.029500000000000002,0.0055,-3.252345407,-3.175479826,0.0083,-2.852896647,0.3191191890947221,0.14549617662007686,-0.016038
193005,0.011000000000000003,0.00591716,0.001933862,-0.36139,0.0338,0.0038,0.03,0.01,-3.241930723,-3.251523123,-0.0016,-2.880540723,0.3269705977151452,0.12968089208120492,-0.013748
193006,0.011200000000000002,-0.005882353,0.004693439,-0.321044575,0.0329,0.0088,0.0241,-0.0082,-3.224403529,-3.241006461,0.0139,-2.903358953,0.33191551241502165,0.12492680707446609,-0.158415
193007,0.0121,-0.00591716,0.014447861585000003,-0.279960026,0.0328,0.013900000000000003,0.0189,0.0059,-3.043789569,-3.223582679,0.0051,-2.763829542,0.4033754528585314,0.13100104494235637,0.036712999999999996
193008,0.012499999999999997,-0.011904762,0.004920446,-0.237186725,0.0327,0.0144,0.0183,0.0022,-3.0789704,-3.042969392,0.0034,-2.841783675,0.39018761485533565,0.14055083330216656,0.010366
193009,0.012600000000000007,-0.006024096,0.004049926,-0.191629322,0.0328,0.0175,0.015300000000000001,0.012299999999999998,-3.085563806,-3.078048505,0.0013,-2.893934484,0.37975210049080776,0.12149495403343429,-0.125749
193010,0.012300000000000005,0.006060606,0.003738406,-0.14497462,0.0324,0.014699999999999998,0.0177,0.0034,-2.945380789,-3.084745056,0.0074,-2.800406169,0.4455832113225964,0.12720037621036412,-0.08458
193011,0.015200000000000005,-0.006024096,0.012876666363000002,-0.096118306,0.0324,0.015,0.0174,0.0019,-2.851616597,-2.944562709,0.0035,-2.755498291,0.4979547313880556,0.12949135796762298,-0.021036
193012,0.017800000000000003,-0.006060606,0.007160072,-0.043758854,0.0322,0.0182,0.013999999999999999,-0.0054,-2.828613199,-2.850697056,0.0042,-2.784854344,0.5046708307998452,0.13775286750338017,-0.072879
193101,0.021899999999999996,-0.018292683,0.008166329,0.010256500167189108,0.033,0.0182,0.0148,-0.002,-2.750666503,-2.827796539,-0.007,-2.760923003,0.5547454125653177,0.113885891,0.058026999999999995
193102,0.019900000000000008,-0.01242236,0.005224312,0.028008334,0.0343,0.021899999999999996,0.0124,0.0324,-2.812065031,-2.764330865,-0.0121,-2.840073365,0.5391520018896894,0.089722129,0.110543
193103,0.019499999999999997,-0.012578616,0.002884626,0.04648505,0.0338,0.0232,0.0106,-0.0017,-2.934300917,-2.82602359,0.0085,-2.980785967,0.47966796259325417,0.082543575,-0.070239
193104,0.020500000000000004,-0.006369427,0.004168752,0.065957968,0.0332,0.0194,0.0138,-0.001,-2.876685141,-2.948350691,0.0104,-2.942643109,0.5291250870271524,0.073980154,-0.093755
193105,0.0232,-0.006410256,0.006709266,0.086393539,0.0327,0.0178,0.0149,-0.0019,-2.790157663,-2.890935128,0.0086,-2.876551202,0.6032144983133806,0.077781013,-0.138574
193106,0.027800000000000005,-0.012903226,0.006910695,0.10776007343933452,0.0317,0.022899999999999997,0.0088,-0.0011,-2.657177502,-2.804723138,0.0145,-2.764937576,0.7099486221391873,0.071381538,0.14569200000000002
193107,0.03,-0.013071895,0.023332949589999995,0.13036181786324355,0.0319,0.026399999999999996,0.0055,0.0048,-2.802012672,-2.671847152,0.0004,-2.93237449,0.6072712744706352,0.063758597,-0.076065
193108,0.027200000000000002,0,0.007039256,0.15418827310558464,0.0325,0.0284,0.0041,0.0094,-2.739831792,-2.816900729,-0.0042,-2.894020065,0.6736095723465545,0.034007378,0.007479
193109,0.030699999999999998,0,0.00454204,0.17923460527725038,0.0326,0.028399999999999998,0.0042,0,-2.764483133,-2.755059359,0.0012,-2.943717739,0.6541854960189369,0.020158279783492435,-0.287761
193110,0.0352,-0.006622517,0.023458994588999995,0.2058520542041488,0.0353,0.030799999999999998,0.0045,0.0267,-2.423979172,-2.779829883,-0.0281,-2.629831226,0.9440016561432564,0.030371887,0.075738
193111,0.040499999999999994,-0.006666667,0.042501955,0.23406872826321973,0.0385,0.0215,0.017,-0.0033,-2.520637164,-2.439565121,-0.033,-2.754705893,0.8771761084928346,0.011271186406309268,-0.102609
193112,0.039899999999999984,-0.013422819,0.011434543961999999,0.26392554503444354,0.0385,0.0208,0.0177,-0.0216,-2.433653356,-2.536589884,0.0027,-2.697578901,0.9715564077980186,0.003398226,-0.138757
193201,0.051,-0.006802721,0.021195349347000007,0.29584538309094177,0.0407,0.0166,0.0241,-0.0066,-2.292781093,-2.449742737,-0.022,-2.588626476,1.170731707317073,-0.012921001,-0.021103
193202,0.0393,-0.020547945,0.017376784498999997,0.29050128704335965,0.039,0.0142,0.0248,-0.0086,-2.297149954,-2.325883973,0.0034,-2.587651241,1.1913781841933377,-0.011577435,0.051281
193203,0.0364,-0.013986014,0.026715250608000007,0.2847733899434819,0.0367,0.012500000000000004,0.0242,-0.0651,-2.380709658,-2.331255823,0.0413,-2.665483048,1.119842829076621,-0.015727669,-0.120507
193204,0.0385,-0.007092199,0.013408922083000001,0.27871340246902043,0.037,0.014499999999999999,0.0225,0.0374,-2.290348367,-2.416155062,-0.0018,-2.569061769,1.1858624454148472,-0.008415512,-0.206395
193205,0.052900000000000016,-0.007142857,0.019851413,0.2722404357265151,0.0336,0.0225,0.0111,-0.078,-2.10087019,-2.327096463,0.0604,-2.373110626,1.5537278741283749,-0.015474679,-0.232723
193206,0.0564,-0.014388489,0.023183792311999997,0.2652663891372872,0.0349,0.0318,0.0031,0.0295,-1.873246172,-2.138874764,-0.0188,-2.138512561,1.942333482342423,-0.034050805,0.002568
193207,0.0559,-0.00729927,0.034302583,0.25782910930209985,0.0347,0.0313,0.0034,-0.0074,-1.903915028,-1.912903853,0.0065,-2.161744137,2.0284780578898225,-0.040688371,0.391538
193208,0.055299999999999995,0,0.020110578496999997,0.249826735,0.032,0.0298,0.0022,-0.0438,-2.265099807,-1.94521062,0.0481,-2.514926542,1.6125440712562629,-0.029176136,0.40167899999999995
193209,0.033100000000000004,-0.007352941,0.040019305911999994,0.2411470727374721,0.0321,0.030699999999999998,0.0014,0.0433,-2.626761365,-2.308009615,0.0003,-2.867908437,1.1878075451066157,-0.015063688,-0.029826
193210,0.0291,-0.007407407,0.043298566,0.23180161405732413,0.0319,0.031599999999999996,0.0003,0.024399999999999998,-2.634119048,-2.671767696,0.0057,-2.865920662,1.214365567356065,0.000704378,-0.142269
193211,0.0323,-0.007462687,0.035644758,0.22165360815305624,0.0322,0.0321,0.0001,0.0091,-2.532034403,-2.681246802,-0.0017,-2.753688012,1.4038772213247175,-0.002874133,-0.052428
193212,0.0361,-0.007518797,0.023316603119999998,0.2105499362953892,0.0322,0.0321,0.0001,0.0041,-2.520589202,-2.581303627,0.0032,-2.731139138,1.5421472937000889,-0.003322151,0.061468999999999996
193301,0.0383,-0.007575758,0.010223099,0.19845093872383834,0.0315,0.0311,0.0004,0.0008,-2.623218266,-2.57261223,0.0131,-2.821669204,1.442084301,-0.00503248,0.013838000000000001
193302,0.0357,-0.015267176,0.005916609,0.18232155679395468,0.0308,0.030100000000000002,0.0007,0.0399,-2.640499291,-2.633268601,0.0148,-2.822820848,1.426929392446634,-0.006490713,-0.179258
193303,0.0389,-0.015503876,0.015666928171999998,0.16612687087397404,0.0325,0.0324,0.0001,-0.0265,-2.44677378,-2.650651662,-0.0258,-2.612900651,1.6909904650710257,-0.005817823,0.038227000000000004
193304,0.042300000000000004,-0.007874016,0.037454110987999986,0.149864347,0.0321,0.018699999999999994,0.0134,-0.005,-2.490048049,-2.45703028,0.0097,-2.639912396,1.4765342960288808,-0.02188381,0.413312
193305,0.0434,0,0.029151226,0.13353139262452263,0.0325,0.028,0.0045,-0.0063,-2.85263143,-2.500410836,-0.0032,-2.986162823,1.119015047879617,-0.006369298,0.174416
193306,0.031099999999999996,0,0.011963833,0.11712535723741269,0.0308,0.0279,0.0029,0.028499999999999998,-3.010361584,-2.86310273,0.0303,-3.127486941,0.9283849733287936,-0.003001643,0.137298
193307,0.026099999999999998,0.007936508,0.019819362,0.10064352577968738,0.0306,0.0299,0.0007,0.013999999999999999,-3.144702384,-3.020943693,0.005,-3.24534591,0.8335031587528021,0.000760917,-0.084936
193308,0.022599999999999995,0.031496063,0.032868097437999996,0.084083117,0.0309,0.029,0.0019,0.0178,-3.063290425,-3.155397673,-0.0017,-3.147373542,0.9011788035694612,0.002713484,0.12297200000000001
193309,0.0247,0.007633588,0.011878964091000001,0.067441281,0.0308,0.0307,0.0001,0.0049,-3.182572591,-3.074101341,0.0044,-3.250013872,0.7987501220583927,0.002147224,-0.118245
193310,0.0291,0,0.014249909073999999,0.050715093,0.0308,0.0304,0.0004,-0.0037,-3.072896794,-3.193501661,0.0023,-3.123611887,0.8679966044142615,-0.00045849,-0.090723
193311,0.0315,0,0.027675770355000004,0.033901552,0.0315,0.0306,0.0009,0.0131,-2.991277923,-3.08394663,-0.0091,-3.025179475,0.927858439,0.003462966,0.10835299999999999
193312,0.0344,0,0.009581576,0.016997576368571132,0.0327,0.0305,0.0022,-0.0099,-3.100193509,-3.002451224,-0.0149,-3.117191085,0.8335031587528021,0.005923477,0.026494
193401,0.0325,0,0.00559057,0,0.0336,0.030699999999999998,0.0029,0.037,-3.133515976,-3.111493064,-0.0113,-3.133515976,0.8290260464173507,0.006195828,0.114533
193402,0.0266,0,0.00663891,-0.007683654,0.0321,0.0249,0.0072,0,-3.232395634,-3.131699445,0.0257,-3.224711981,0.7629173661630293,0.003558323,-0.03304
193403,0.0207,0.007575758,0.005567285,-0.014831733,0.0317,0.0255,0.0062,0.0065,-3.192959915,-3.230355973,0.0081,-3.178128183,0.7906437270442683,0.005594944,0.005155
193404,0.021300000000000006,0,0.006372525,-0.022347299,0.0307,0.028300000000000002,0.0024,-0.001,-3.190220569,-3.191150369,0.0197,-3.16787327,0.8025122121423587,0.009606328,-0.02559
193405,0.0194,0,0.001899187,-0.029779978,0.03,0.028499999999999998,0.0015,-0.0022,-3.161066996,-3.188414292,0.0126,-3.131287017,0.8010747338043587,0.007828797,-0.078597
193406,0.0204,0,0.0073632,-0.036689198,0.0292,0.0276,0.0016,-0.0041,-3.074284591,-3.159038826,0.0131,-3.037595393,0.8563829787234043,0.007652304,0.02398
193407,0.021299999999999993,0.007518797,0.006894645,-0.043963123,0.0289,0.027399999999999997,0.0015,0.0091,-3.09308327,-3.07248522,0.0067,-3.049120147,0.8407310704960835,0.00598278,-0.119946
193408,0.022399999999999996,0,0.011531331,-0.051158696,0.0288,0.027299999999999998,0.0015,0.0007,-2.968906387,-3.091287132,0.004,-2.917747691,0.9142532651902329,0.002907841,0.05855
193409,0.025599999999999998,0,0.006501447,-0.057842209,0.0299,0.028,0.0019,0.0165,-3.01962193,-2.966889579,-0.0118,-2.961779721,0.8668964031875942,0.019956903496031797,-0.000316
193410,0.026100000000000012,0.014925373134328401,0.004830819,-0.064887622,0.031,0.0289,0.0021,0.0085,-3.012353155,-3.017832621,-0.0146,-2.947465533,0.8703643637149963,0.019439017156694893,-0.032763
193411,0.025,-0.007352941,0.004358161,-0.071858862,0.03,0.027299999999999998,0.0027,-0.008,-2.978180068,-3.010567041,0.0182,-2.906321205,0.8622536418166238,0.023897271,0.085959
193412,0.0251,0,0.002025305,-0.078328794,0.0299,0.0274,0.0025,0.0092,-3.055780542,-2.976174496,0.0037,-2.977451748,0.7820089372449971,0.020711038517711416,-0.000781
193501,0.0242,-0.007407407,0.002608946,-0.085157808,0.0293,0.027,0.0023,-0.0011,-3.049799495,-3.054001182,0.0112,-2.964641686,0.7737408688965782,0.020812716,-0.042468
193502,0.0221,0.014925373134328401,0.002213604,-0.236388778,0.0281,0.026099999999999998,0.002,0.0029,-3.00678211,-3.049799495,0.0182,-2.770393332,0.7916215950437605,0.020997429,-0.03704
193503,0.022600000000000002,0.007352941,0.003279982,-0.36772478,0.0275,0.0256,0.0019,0.0049,-2.966417886,-3.00678211,0.0092,-2.598693106,0.7862863840593867,0.014708641484959453,-0.031554
193504,0.025300000000000003,0,0.003972862,-0.483796951,0.0274,0.0259,0.0015,0.0002,-2.935038205,-2.966417886,0.0041,-2.451241254,0.8007541178805319,0.012045955908095339,0.096393
193505,0.0247,0.00729927,0.003162168,-0.527109912,0.0269,0.0254,0.0015,0.0033,-3.033803475,-2.942472437,0.0079,-2.506693563,0.7373229785290086,0.019093688,0.038035
193506,0.022900000000000004,0,0.002877662,-0.569236712,0.0276,0.026099999999999998,0.0015,0.0099,-3.07311169,-3.041295645,-0.0057,-2.503874978,0.7293926247288504,0.019298040691548567,0.070433
193507,0.021599999999999994,-0.007246377,0.002810458,-0.610259521,0.027,0.0255,0.0015,0.002,-3.146305132,-3.080658144,0.0092,-2.536045611,0.6818181818181819,0.019343977,0.083714
193508,0.0211,0,0.001680048,-0.589468331,0.0268,0.0253,0.0015,0.0065,-3.226122233,-3.146305132,0.0046,-2.636653902,0.6393091974966332,0.017409774693289512,0.026469
193509,0.019799999999999998,0,0.003774986,-0.56823696,0.0281,0.0265,0.0016,0.0091,-3.247551625,-3.226122233,-0.0133,-2.679314665,0.6336866902237928,0.004981615,0.025426
193510,0.0194,0,0.002428824,-0.546543706,0.0282,0.0262,0.002,-0.0009,-3.271123209,-3.247551625,0.0009,-2.724579503,0.6117343844754397,0.008026621,0.071703
193511,0.020199999999999996,0,0.003259193,-0.524070851,0.0279,0.0259,0.002,-0.0019,-3.32103121,-3.248650354,0.0061,-2.796960359,0.5775010734220696,0.002950727,0.051743000000000004
193512,0.019599999999999992,0.00729927,0.003149683,-0.502091944,0.028,0.0264,0.0016,0.0059,-3.337624578,-3.299052303,0.001,-2.835532634,0.5669523675706056,0.002219429,0.039786999999999996
193601,0.0186,0,0.002897366,-0.480585739,0.0276,0.026099999999999998,0.0015,0.0013,-3.352513595,-3.316118372,0.007,-2.871927856,0.5599111912856449,0.008688835,0.071732
193602,0.016300000000000002,0,0.001867159,-0.472604411,0.0285,0.026500000000000003,0.002,0.0027,-3.394927769,-3.331460186,0.0055,-2.922323358,0.5398354404976922,0.008907728,0.022361
193603,0.0148,0,0.002222594,-0.464888529,0.0281,0.026099999999999998,0.002,-0.0027,-3.390940881,-3.374308481,0.0081,-2.926052353,0.529076247,0.013760453503580338,0.023829
193604,0.015700000000000006,-0.007246377,0.00500448,-0.457424847,0.0275,0.025500000000000002,0.002,-0.0024,-3.395849775,-3.370738174,0.0106,-2.938424928,0.5276960470768837,0.013456037056592278,-0.077788
193605,0.016200000000000006,0,0.005760772,-0.461905774,0.0274,0.0254,0.002,-0.0009,-3.282849025,-3.363059307,0.0035,-2.820943251,0.5663485961419648,0.019252871028399794,0.052906
193606,0.016700000000000007,0,0.002907938,-0.466090355,0.0273,0.025300000000000003,0.002,0,-3.295837491,-3.251101597,0.004,-2.829747136,0.5404874213836478,0.018627594287330487,0.032242
193607,0.016599999999999997,0.00729927,0.001568495,-0.470003629,0.0273,0.025300000000000003,0.002,0.0061,-3.295163238,-3.265065207,0.0021,-2.825159609,0.5231783879764094,0.020813450096393838,0.073342
193608,0.016099999999999996,0.007246377,0.001568553,-0.456758402,0.0271,0.025599999999999998,0.0015,-0.0049,-3.325288418,-3.259445156,0.006,-2.868530016,0.5004246026931942,0.021746988222569832,0.013923999999999999
193609,0.015300000000000008,0.007194245,0.002619507,-0.444251133,0.0264,0.024399999999999998,0.002,-0.0044,-3.299596269,-3.290802242,0.0111,-2.855345136,0.49612123398881475,0.019666034434026963,0.004717
193610,0.014399999999999996,0,0.001183759,-0.432420918,0.0268,0.0252,0.0016,0.0098,-3.267509849,-3.266259849,-0.0031,-2.835088931,0.49159814086521275,0.021398482974673366,0.076081
193611,0.013600000000000001,0,0.002224405,-0.402022593,0.0269,0.0256,0.0013,0.0019,-3.28141441,-3.209137327,0.0006,-2.879391817,0.46570702794242164,0.021804227023902535,0.010566
193612,0.013699999999999997,0,0.0028304,-0.37408366,0.0257,0.0246,0.0011,-0.0096,-3.230322747,-3.226263594,0.0205,-2.856239087,0.45027835389149656,0.022840762004661886,-0.00383
193701,0.0143,0,0.001498375,-0.348306694,0.0255,0.0243,0.0012,-0.0028,-3.172249984,-3.17805383,0.0038,-2.823943289,0.45858810450250137,0.025224721571867965,0.036548
193702,0.013900000000000003,0.007142857,0.001572549,-0.363500909,0.0258,0.0241,0.0017,0.0037,-3.195593177,-3.158456661,-0.0013,-2.832092268,0.44657356284507954,0.025003249582512287,0.018283
193703,0.0131,0,0.001306789,-0.378066134,0.0253,0.023799999999999998,0.0015,-0.0132,-3.196464392,-3.181987525,0.0086,-2.818398258,0.4407757653470108,0.025207677382825134,-0.003611
193704,0.013599999999999994,0.007092199,0.00311448,-0.392042088,0.0285,0.0247,0.0038,0.029699999999999997,-3.17359948,-3.183041372,-0.0411,-2.781557392,0.4586663805589829,0.033506829,-0.080946
193705,0.014199999999999997,0.007042254,0.005466779,-0.370678992,0.0284,0.0228,0.0056,0.0029,-3.047570291,-3.134378767,0.0039,-2.676891299,0.4906180065415734,0.028107264356390372,-0.006299
193706,0.015099999999999995,0.006993007,0.003593072,-0.350482974,0.0282,0.0241,0.0041,-0.0013,-2.999429135,-3.009829963,0.0053,-2.648946162,0.4893824051284986,0.028278063102959185,-0.054103
193707,0.0165,0,0.002984171,-0.331357136,0.0285,0.024900000000000002,0.0036,0.0071,-2.908720897,-2.963061491,-0.0018,-2.577363761,0.5049610205527995,0.031266166536589174,0.098691
193708,0.016600000000000004,0.006944444,0.002982217,-0.373674921,0.0277,0.0249,0.0028,-0.0099,-3.034560037,-2.936891365,0.0138,-2.660885116,0.4646486603988914,0.027224932048796318,-0.051383
193709,0.016799999999999995,0,0.002140794,-0.416604935,0.0286,0.0257,0.0029,0.0087,-3.006597824,-3.063548402,-0.0104,-2.589992889,0.4819345020010146,0.031064413,-0.14001
193710,0.018800000000000004,0.006896552,0.015821146,-0.460215623,0.0284,0.025300000000000003,0.0031,-0.002,-2.883130597,-3.036450367,0.0045,-2.422914974,0.5531474412887365,0.035846726,-0.102922
193711,0.0225,0,0.031722240730000004,-0.422414666,0.0283,0.026299999999999997,0.002,0.0025,-2.762926811,-2.870227192,0.0042,-2.340512145,0.6174176776429809,0.040958563617450344,-0.084489
193712,0.025799999999999997,-0.006849315,0.021973391515999998,-0.384142339,0.0278,0.026899999999999997,0.0009,-0.0029,-2.643567937,-2.750187786,0.0096,-2.259425599,0.6924198250728862,0.042030807,-0.045828
193801,0.025200000000000007,-0.006896552,0.006954963,-0.345361184,0.0273,0.0262,0.0011,-0.0015,-2.579269411,-2.630989155,0.0082,-2.233908227,0.7074886222589988,0.031775399951307855,0.012163
193802,0.027199999999999995,-0.013888889,0.009751241,-0.305385166,0.0271,0.026099999999999998,0.001,-0.0019,-2.600820946,-2.587638081,0.0057,-2.295435781,0.7015672437843603,0.038801722,0.065757
193803,0.027699999999999995,-0.007042254,0.007772491,-0.263012261,0.0268,0.026000000000000002,0.0008,-0.0042,-2.668286544,-2.609258971,0.0052,-2.405274283,0.6595186670780624,0.03224778,-0.254006
193804,0.0308,0,0.015067942,-0.218002152,0.0273,0.026500000000000003,0.0008,-0.005,-2.388527523,-2.676797658,-0.0037,-2.170525371,0.8923698837796866,0.033845249,0.142567
193805,0.0317,0.007092199,0.018892725,-0.164038708,0.0259,0.024999999999999998,0.0009,-0.0072,-2.537828616,-2.405768894,0.021,-2.373789908,0.7907934802077736,0.027160852,-0.039973
193806,0.028399999999999995,-0.007042254,0.007651434,-0.104918781,0.0257,0.0252,0.0005,-0.0034,-2.510031297,-2.555373803,0.0044,-2.405112517,0.8195656209392983,0.029977327213493585,0.253519
